Sr.No,Stock,Sector,Shares Held or Principal Amt,Market Value,% of Portfolio,Previous % of Portfolio,Ranked,Change in Shares,% Change,% Ownership,Qtr 1st Owned,Estimated Avg Price Paid,Quarter End Price,Recent Price,Source,Source Date,Date Reported
0,AAPL,INFORMATION TECHNOLOGY,1027632887,1.79435E+11,4.74,4.61,1,"7,822,596",,0.0635,Q3 2007,36.74,174.61,146.35,13F,2022-03-31,2022-05-12
1,MSFT,INFORMATION TECHNOLOGY,523749870,1.61477E+11,4.26,4.44,2,"4,714,236",,0.07,Q3 2007,79.69,308.31,268.4,13F,2022-04-01,2022-05-13
2,AMZN,CONSUMER DISCRETIONARY,582877640,95007597000,2.51,2.44,3,"8,521,600",0.01,0.0029,Q4 2008,1126.05,163,116.33,13F,2022-04-02,2022-05-14
3,BP,ENERGY,1950622815,63141660522,1.67,0.01,4,"1,938,847,127",164.64,0.6064,-,,,27.78,13G,2022-04-03,2022-05-15
4,TSLA,CONSUMER DISCRETIONARY,55241453,59528191000,1.57,1.42,5,"2,396,458",0.04,0.0533,Q3 2010,288.02,1077.6,733.63,13F,2022-04-04,2022-05-16
5,GOOGL,COMMUNICATIONS,20702430,57580702000,1.52,1.51,6,"234,926",0.01,0.0688,Q3 2007,930.03,2781.35,2375.66,13F,2022-04-05,2022-05-17
6,GOOG,COMMUNICATIONS,19016293,53112316000,1.4,1.41,7,"179,884",,0.0607,Q2 2014,877.37,2792.99,2386.12,13F,2022-04-06,2022-05-18
7,NVDA,INFORMATION TECHNOLOGY,180881694,49355380000,1.3,1.33,8,"3,041,972",0.01,0.0724,Q3 2007,186.29,272.86,158.58,13F,2022-04-07,2022-05-19
8,BRK.B,FINANCE,102305819,36104748000,0.95,0.77,9,"1,194,693",0.01,0.0796,Q3 2007,171.68,352.91,279.28,13F,2022-04-08,2022-05-20
9,JNJ,HEALTH CARE,200799189,35587638000,0.94,0.87,10,"777,837",,0.0763,Q3 2007,127.21,177.23,178.5,13F,2022-04-09,2022-05-21
10,UNH,HEALTH CARE,69016614,35196406000,0.93,0.89,11,"242,811",,0.0736,Q4 2008,174.78,509.97,514.38,13F,2022-04-10,2022-05-22
11,META,COMMUNICATIONS,149971299,33347618000,0.88,1.35,12,"8,130,020",-0.05,0.0654,Q2 2012,151.17,222.36,172.19,13F,2022-04-11,2022-05-23
12,IVV,FINANCE,71694332,32527001000,0.86,0.85,13,"1,416,703",0.02,,Q4 2009,279.33,453.69,390.99,13F,2022-04-12,2022-05-24
13,V,FINANCE,127040336,28173734000,0.74,0.71,14,"1,990,965",-0.01,0.0772,Q2 2008,100.84,221.77,202.8,13F,2022-04-13,2022-05-25
14,JPM,FINANCE,201689773,27494349000,0.73,0.77,15,"9,440,222",0.04,0.0687,Q3 2007,91.25,136.32,114.72,13F,2022-04-14,2022-05-26
15,PG,CONSUMER STAPLES,155302223,23730180000,0.63,0.65,16,"1,511,062",,0.0647,Q3 2007,91.03,152.8,146,13F,2022-04-15,2022-05-27
16,MA,FINANCE,65371984,23362639000,0.62,0.6,17,"340,274",,0.0677,Q3 2007,124.16,357.38,324.07,13F,2022-04-16,2022-05-28
17,XOM,ENERGY,275079344,22718802000,0.6,0.41,18,"12,819,877",0.04,0.0653,Q3 2007,79.97,82.59,85.94,13F,2022-04-17,2022-05-29
18,HD,CONSUMER DISCRETIONARY,72085771,21577436000,0.57,0.74,19,"2,045,250",0.02,0.0701,Q3 2007,154.26,299.33,286.69,13F,2022-04-18,2022-05-30
19,PFE,HEALTH CARE,408084122,21126515000,0.56,0.62,20,"1,901,522",,0.0727,Q3 2007,32.71,51.77,53.42,13F,2022-04-19,2022-05-31
20,ABBV,HEALTH CARE,129630878,21014462000,0.55,0.44,21,"1,433,324",0.01,0.0734,Q1 2013,76.78,162.11,152,13F,2022-04-20,2022-06-01
21,CVX,ENERGY,127489482,20759111000,0.55,0.38,22,"1,445,717",0.01,0.0649,Q3 2007,106.83,162.83,143.52,13F,2022-04-21,2022-06-02
22,BAC,FINANCE,498629990,20553528000,0.54,0.56,23,"5,552,799",0.01,0.0619,Q3 2007,23.69,41.22,31.86,13F,2022-04-22,2022-06-03
23,CSCO,INFORMATION TECHNOLOGY,351582807,19604258000,0.52,0.57,24,"1,178,419",,0.0849,Q3 2007,36.34,55.76,43.22,13F,2022-04-23,2022-06-04
24,LLY,HEALTH CARE,63996319,18326626000,0.48,0.45,25,"363,797",,0.0674,Q3 2007,103.84,286.37,327.95,13F,2022-04-24,2022-06-05
25,AAPL,INFORMATION TECHNOLOGY,1027632887,1.79435E+11,4.74,4.61,1,"7,822,596",,0.0635,Q3 2007,36.74,174.61,146.35,13F,2022-04-25,2022-06-06
26,COST,CONSUMER STAPLES,31340294,18047310000,0.48,0.45,26,"261,972",,0.0708,Q3 2007,208.19,575.85,494.95,13F,2022-04-26,2022-06-07
